CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE
40986347,VESUVIOS PIZZA,0,1800,KINGS HIGHWAY,11229,7183399300,7,10/30/13,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,5,0,10/30/13,9/19/16,Cycle Inspection / Re-inspection
50033000,LAS MARGARITAS RESTAURANT,0,7206,3RD AVE,11209,7182383972,3,6/15/16,Violations were cited in the following area(s).,10,Proper sanitization not provided for utensil ware washing operation.,0,12,0,6/15/16,9/19/16,Cycle Inspection / Re-inspection
41002741,MARCHINIS HOMESTYLE PIZZERIA,2,5430,48 STREET,11378,7183618266,8,3/25/14,Violations were cited in the following area(s).,10,"Mechanical or natural ventilation system not provided, improperly installed, in disrepair and/or fails to prevent excessive build-up of grease, heat, steam condensation vapors, odors, smoke, and fumes.",0,13,0,3/25/14,9/19/16,Cycle Inspection / Re-inspection
50002572,LA RUBIA RESTAURANT,2,861,WYCKOFF AVENUE,11385,7183819847,2,10/4/13,Establishment re-opened by DOHMH,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,6,2,10/4/13,9/19/16,Pre-permit (Operational) / Reopening Inspection
50001879,TWOSHA'S,3,2576,THIRD AVE,10454,7186655428,0,12/8/15,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,12,0,12/8/15,9/19/16,Cycle Inspection / Re-inspection
40722176,BARNES & NOBLE CAFE,3,290,BAYCHESTER AVENUE,10475,7188623945,9,8/6/13,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,10,0,8/6/13,9/19/16,Cycle Inspection / Re-inspection
41068451,GRAND OASIS RESTAURANT,2,1611,CENTRAL AVENUE,11691,7183274067,2,5/4/13,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,27,1,5/4/13,9/19/16,Cycle Inspection / Re-inspection
41668303,EASTERN RESTAURANT,2,20809,JAMAICA AVENUE,11428,7184798004,1,7/5/16,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,12,0,7/5/16,9/19/16,Cycle Inspection / Initial Inspection
41458679,ALEEF COFFEE HOUSE,1,333,WEST   39 STREET,10018,2125642723,9,12/26/13,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,17,1,12/26/13,9/19/16,Cycle Inspection / Re-inspection
41313479,"DUNKIN' DONUTS, BASKIN ROBBINS",1,361,1 AVENUE,10010,2122283768,10,3/20/14,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,10,0,3/20/14,9/19/16,Cycle Inspection / Initial Inspection
41269687,MCDONALD'S,1,1499,3 AVENUE,10028,2126288100,11,10/9/13,Violations were cited in the following area(s).,4,Live roaches present in facility's food and/or non-food areas.,1,20,1,10/9/13,9/19/16,Cycle Inspection / Re-inspection
40394176,MOONSTRUCK EAST,1,449,THIRD AVENUE,10016,2122131100,0,9/27/13,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,13,0,9/27/13,9/19/16,Cycle Inspection / Initial Inspection
41708740,BIRCH COFFEE,1,56,7 AVENUE,10011,2129291444,9,4/4/14,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,9,0,4/4/14,9/19/16,Cycle Inspection / Initial Inspection
41313080,ROCKY SULLIVAN'S OF RED HOOK,0,34,VAN DYKE ST,11231,7182468050,0,11/10/15,Violations were cited in the following area(s).,4,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1,7,0,11/10/15,9/19/16,Cycle Inspection / Re-inspection
40365627,JAHN'S RESTAURANT,2,8104,37 AVENUE,11372,7186510700,0,2/6/14,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,13,0,2/6/14,9/19/16,Cycle Inspection / Re-inspection
41653556,AWASH ETHIOPIAN RESTAURANT,0,242,COURT ST,11201,7182432151,12,10/21/15,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,7,0,10/21/15,9/19/16,Cycle Inspection / Initial Inspection
41306113,HONG KONG KITCHEN,2,2510,BROADWAY,11106,7187268482,1,4/30/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,12,0,4/30/14,9/19/16,Cycle Inspection / Initial Inspection
50000895,WAH SING,2,23119,MERRICK BLVD.,11413,7187126106,1,8/29/15,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,13,0,8/29/15,9/19/16,Cycle Inspection / Re-inspection
41525094,DA NONNA ROSA,0,140,7 AVENUE,11215,7187886225,13,2/19/13,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,13,0,2/19/13,9/19/16,Cycle Inspection / Re-inspection
40880194,TOURNESOL,2,5012,VERNON BOULEVARD,11101,7184724355,14,2/19/14,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,9,0,2/19/14,9/19/16,Cycle Inspection / Re-inspection
50016664,"AUNTIE ANNE'S PRETZELS, PINKBERRY",1,151,W 34TH ST,10001,2125940018,15,4/17/15,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,11,0,4/17/15,9/19/16,Pre-permit (Operational) / Re-inspection
40602670,SOBA-YA,1,229,EAST    9 STREET,10003,2125336966,5,6/11/15,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,11,0,6/11/15,9/19/16,Cycle Inspection / Initial Inspection
50015257,KABAB KING,2,7301,37TH RD,11372,7184575857,16,9/26/15,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,8,0,9/26/15,9/19/16,Cycle Inspection / Re-inspection
40664018,IFH EL BUFFET RESTAURANT  ALBERTO'S MOFONGO HOUSE,1,217,DYCKMAN STREET,10040,2129425656,2,1/30/13,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,9,0,1/30/13,9/19/16,Cycle Inspection / Re-inspection
41650869,CHIMU,0,482,UNION AVE,11211,7183830045,2,5/6/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,7,0,5/6/14,9/19/16,Cycle Inspection / Re-inspection
41118794,TAQUERIA COCOYOC,0,211,WYCKOFF AVENUE,11237,7184974489,3,1/12/16,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,12,0,1/12/16,9/19/16,Cycle Inspection / Re-inspection
41668282,ROSEMARY'S,1,1820,GREENWICH AVENUE,10011,2126471818,13,8/18/14,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,36,3,8/18/14,9/19/16,Cycle Inspection / Re-inspection
50011626,BROADWAY BAKERY,2,8622,BROADWAY,11373,7188981128,1,8/10/15,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,19,1,8/10/15,9/19/16,Cycle Inspection / Re-inspection
41719505,EL PASO DEL VAQUERO TAQUERIA & BAR,3,374,EAST  204 STREET,10467,3472232677,3,3/1/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,12,0,3/1/14,9/19/16,Cycle Inspection / Initial Inspection
50018035,STARBUCKS,2,3805,MAIN ST,11354,7184450354,9,1/7/15,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,10,0,1/7/15,9/19/16,Pre-permit (Operational) / Initial Inspection
41224482,SIDE BAR,1,120,EAST 15 STREET,10003,2126772900,0,7/28/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,11,0,7/28/14,9/19/16,Cycle Inspection / Re-inspection
50014381,CROWN GRILL HALAL CHICKEN,0,357,NOSTRAND AVE,11216,7186381004,17,10/9/14,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,15,1,10/9/14,9/19/16,Pre-permit (Operational) / Re-inspection
41249550,INSIDE PARK AT ST. BART'S,1,109,EAST 50 STREET,10022,2125933333,0,2/25/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,7,0,2/25/14,9/19/16,Cycle Inspection / Re-inspection
41234950,CIVIC DELI,1,111,WORTH STREET,10013,2126192721,0,8/22/16,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,20,4,8/22/16,9/19/16,Cycle Inspection / Re-inspection
41004674,FLORIDITA RESTAURANT UPTOWN,1,4162,BROADWAY,10033,2129280653,2,11/17/14,Violations were cited in the following area(s).,10,Proper sanitization not provided for utensil ware washing operation.,0,9,0,11/17/14,9/19/16,Cycle Inspection / Initial Inspection
41639505,GIO'S PIZZA & RESTAURANT,3,308,E 141ST ST,10454,7189931952,7,3/31/15,Violations were cited in the following area(s).,6,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",1,13,0,3/31/15,9/19/16,Cycle Inspection / Re-inspection
41041142,ROGUE,1,757,6 AVENUE,10010,2122426434,0,8/6/15,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,10,0,8/6/15,9/19/16,Cycle Inspection / Initial Inspection
41032440,CLIFFORD CHANCE CAFETERIA,1,31,WEST   52 STREET,10019,2128788287,0,12/2/13,Violations were cited in the following area(s).,6,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",1,10,0,12/2/13,9/19/16,Cycle Inspection / Initial Inspection
41385081,KEFI,1,505,COLUMBUS AVENUE,10024,2128730200,18,11/24/15,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,9,0,11/24/15,9/19/16,Cycle Inspection / Re-inspection
50049940,METRO BAR AND BISTRO,4,2561,HYLAN BLVD,10306,7186689200,13,9/12/16,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,9,0,9/12/16,9/19/16,Cycle Inspection / Initial Inspection
41004767,SUBWAY,2,360305,31 STREET,11106,7183615277,19,6/5/13,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,12,0,6/5/13,9/19/16,Cycle Inspection / Initial Inspection
41647827,AMBIANCE EXPRESS,0,2025,NOSTRAND AVENUE,11210,7184344287,20,4/1/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,4,0,4/1/14,9/19/16,Cycle Inspection / Re-inspection
41181402,GOURMET BAGEL,1,874,LEXINGTON AVENUE,10065,2128795200,21,5/22/14,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,13,0,5/22/14,9/19/16,Cycle Inspection / Initial Inspection
41548334,55 THOMAS CAFE,1,55,THOMAS STREET,10013,2128867347,0,7/30/14,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,7,0,7/30/14,9/19/16,Cycle Inspection / Re-inspection
41688265,UPPER SOUTH SUITE STOLI BAR,0,620,ATLANTIC AVENUE,11217,9176186310,0,1/10/14,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,2,0,1/10/14,9/19/16,Cycle Inspection / Initial Inspection
50009001,KLONG,1,7,SAINT MARKS PL,10003,2125059955,22,2/22/16,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,10,0,2/22/16,9/19/16,Cycle Inspection / Re-inspection
41643714,WIEN FAR KITCHEN,0,4805,CHURCH AVENUE,11203,7182879568,1,6/17/14,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,18,1,6/17/14,9/19/16,Cycle Inspection / Re-inspection
50008600,ST NICHOLAS FOOD,1,285,SAINT NICHOLAS AVE,10027,2129239300,23,7/14/14,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,26,1,7/14/14,9/19/16,Pre-permit (Operational) / Re-inspection
40962612,CESCA,1,164,WEST   75 STREET,10023,2127876300,13,2/17/16,Violations were cited in the following area(s).,10,Accurate thermometer not provided in refrigerated or hot holding equipment.,0,10,0,2/17/16,9/19/16,Cycle Inspection / Re-inspection
41633272,PEKING TASTE & THAI,4,2343,RICHMOND AVENUE,10314,7184949393,16,7/3/14,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,22,1,7/3/14,9/19/16,Cycle Inspection / Re-inspection
41277564,DUNKIN' DONUTS,2,8118,ROOSEVELT AVENUE,11372,7187799249,10,12/3/12,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,12,0,12/3/12,9/19/16,Cycle Inspection / Initial Inspection
50012576,RED APPLE FROZEN YOGURT,2,5705,MAIN ST,11355,7184450055,24,9/23/14,Violations were cited in the following area(s).,4,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",1,11,0,9/23/14,9/19/16,Pre-permit (Operational) / Initial Inspection
40923919,COSI,1,685,3 AVENUE,10017,2126978329,0,1/29/14,Violations were cited in the following area(s).,6,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",1,11,0,1/29/14,9/19/16,Cycle Inspection / Re-inspection
40674475,JOHN'S PIZZERIA,1,278,BLEECKER STREET,10014,2122431680,8,11/18/13,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,19,1,11/18/13,9/19/16,Cycle Inspection / Re-inspection
41063300,CENTRE PIZZA,2,25425,HORACE HARDING EXPRESS,11362,7182299879,13,4/29/16,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,12,0,4/29/16,9/19/16,Cycle Inspection / Re-inspection
40950312,MANI MANI RESTAURANT,2,16324,NORTHERN BOULEVARD,11358,7185390288,25,10/22/14,Violations were cited in the following area(s).,2,Hot food item not held at or above 140퉌_ F.,1,7,0,10/22/14,9/19/16,Cycle Inspection / Initial Inspection
40553257,ACAPULCO DELI & RESTAURANT,0,1116,MANHATTAN AVENUE,11222,7183498429,3,10/2/13,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,9,0,10/2/13,9/19/16,Cycle Inspection / Initial Inspection
41676147,MEI HAO RESTAURANT,0,4415,8 AVENUE,11220,7186866699,1,4/8/15,Violations were cited in the following area(s).,2,Hot food item that has been cooked and refrigerated is being held for service without first being reheated to 1 65퉌_ F or above within 2 hours.,1,15,1,4/8/15,9/19/16,Cycle Inspection / Re-inspection
41138910,MI NUEVO RANCHO BAR & RESTAURANT,2,4320,GREENPOINT AVENUE,11104,7183616513,3,12/3/13,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,13,0,12/3/13,9/19/16,Cycle Inspection / Re-inspection
41633013,TOMO JAPANESE RESTAURANT,4,4561,AMBOY ROAD,10312,7182275100,5,5/11/16,Violations were cited in the following area(s).,6,Wiping cloths soiled or not stored in sanitizing solution.,1,10,0,5/11/16,9/19/16,Cycle Inspection / Re-inspection
41360156,FISH EYE BAR & GRILL,0,5913,FOSTER AVENUE,11234,7184513474,6,4/4/15,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,16,1,4/4/15,9/19/16,Cycle Inspection / Re-inspection
40387086,PELLEGRINO'S,1,138,MULBERRY STREET,10013,2122263177,13,4/27/15,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,23,1,4/27/15,9/19/16,Cycle Inspection / Re-inspection
50043684,COVERT COFFEE,0,1643,BROADWAY,11207,6466371399,0,2/25/16,Violations were cited in the following area(s).,4,Evidence of mice or live mice present in facility's food and/or non-food areas.,1,10,0,2/25/16,9/19/16,Cycle Inspection / Re-inspection
41618541,SPRING NATURAL KITCHEN,1,474,COLUMBUS AVENUE,10024,6465967434,0,6/5/14,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,20,1,6/5/14,9/19/16,Cycle Inspection / Re-inspection
50018602,LITTLE VINCENT'S PIZZA,1,1399,2ND AVE,10021,2122490120,8,9/15/15,Violations were cited in the following area(s).,8,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,0,11,0,9/15/15,9/19/16,Cycle Inspection / Re-inspection
41549980,LA FOLLIA,1,226,3 AVENUE,10003,2124774100,13,9/12/14,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,13,0,9/12/14,9/19/16,Cycle Inspection / Re-inspection
40856729,CRIF DOGS / PLEASE DON'T TELL,1,113,ST  MARKS'S PLACE,10003,2126142728,0,9/17/13,Violations were cited in the following area(s).,10,"Lighting inadequate; permanent lighting not provided in food preparation areas, ware washing areas, and storage rooms.",0,13,0,9/17/13,9/19/16,Cycle Inspection / Initial Inspection
40721083,GOLDEN KRUST CARIBBEAN BAKERY & GRILL,1,121,WEST  125 STREET,10027,2126637451,20,3/26/15,Violations were cited in the following area(s).,6,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",1,12,0,3/26/15,9/19/16,Cycle Inspection / Re-inspection
40793607,CAFE SPICE,1,0,GRAND CENTRAL TERMINAL,10017,6462271300,26,5/27/15,Violations were cited in the following area(s).,2,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140퉌_ F to 70퉌_ F or less within 2 hours, and from 70퉌_ F to 41퉌_ F or less within 4 additional hours.",1,14,1,5/27/15,9/19/16,Cycle Inspection / Re-inspection
50047594,ROWS RESTAURANT,0,310,TOMPKINS AVE,11216,7186383127,20,6/28/16,Violations were cited in the following area(s).,10,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,0,10,0,6/28/16,9/19/16,Pre-permit (Operational) / Re-inspection
41510404,JUSTIN'S,2,24513,FRANCIS LEWIS BOULEVARD,11422,7189781949,23,12/5/14,Violations were cited in the following area(s).,10,"Single service item reused, improperly stored, dispensed; not used when required.",0,16,1,12/5/14,9/19/16,Cycle Inspection / Re-inspection
41258823,LITTLE CAESARS,3,1888,WESTCHESTER AVENUE,10472,3476571722,7,3/24/16,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,9,0,3/24/16,9/19/16,Cycle Inspection / Initial Inspection
41372356,HILTON NEW YORK MAIN KITCHEN,1,1335,AVENUE OF THE AMERICAS,10019,2125867000,0,1/12/15,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,11,0,1/12/15,9/19/16,Cycle Inspection / Re-inspection
41649766,A & S CATERERS,4,3135,VICTORY BOULEVARD,10314,7189837500,0,1/29/15,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,17,1,1/29/15,9/19/16,Cycle Inspection / Re-inspection
50014201,SAMURAI PAPA,0,32,VARET ST,11206,7186872947,5,7/11/15,Violations were cited in the following area(s).,8,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,0,13,0,7/11/15,9/19/16,Cycle Inspection / Initial Inspection
41235123,AUNTIE ANNE'S PRETZELS,2,0,LAGUARDIA AIRPORT,11369,7184571467,21,7/16/15,Violations were cited in the following area(s).,4,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",1,13,0,7/16/15,9/19/16,Cycle Inspection / Initial Inspection
41626037,NO FUN,1,161,LUDLOW STREET,10002,2124771616,27,2/6/15,Violations were cited in the following area(s).,10,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",0,9,0,2/6/15,9/19/16,Cycle Inspection / Re-inspection
41713405,CAFE RUE DIX,0,1451,BEDFORD AVENUE,11216,9292342543,28,11/27/13,Violations were cited in the following area(s).,6,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",1,27,1,11/27/13,9/19/16,Pre-permit (Operational) / Re-inspection
40929114,NEW HONG KONG KITCHEN,0,5226,CHURCH AVENUE,11203,7183421932,1,8/3/13,Violations were cited in the following area(s).,2,Cold food item held above 41퉌_ F (smoked fish and reduced oxygen packaged foods above 38 퉌_F) except during necessary preparation.,1,10,0,8/3/13,9/19/16,Cycle Inspection / Initial Inspection
